STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
JAMMU & KASHMIR,JAMMU,2010,23,86,5,36,0,36,81,78,3,0,0,1,216,494,315,179,69,42,105,0,16,34,6,36,42,70,0,184,2430,3976,1,Moderate Areas
TAMIL NADU,THIRUVARUR,2010,29,30,2,12,0,12,22,18,4,1,0,20,96,189,77,112,53,0,23,1,27,518,0,20,0,13,0,157,2763,3976,1,Moderate Areas
ASSAM,SONITPUR,2012,91,41,1,97,0,97,241,220,21,14,0,34,220,464,116,348,72,65,46,0,29,341,11,39,0,124,0,405,1645,3980,1,Moderate Areas
RAJASTHAN,JHALAWAR,2010,44,67,5,62,0,62,62,48,14,0,8,25,91,442,223,219,28,16,158,1,42,942,6,187,4,303,0,112,1376,3981,1,Moderate Areas
KERALA,KOZHIKODE RURAL,2003,8,17,31,24,0,24,6,4,2,3,6,6,141,154,63,91,458,10,165,2,48,571,1,76,5,210,0,1,2039,3982,1,Moderate Areas
BIHAR,SITAMARHI,2012,97,35,7,20,0,20,167,143,24,27,6,41,118,482,231,251,170,11,24,0,28,2047,30,0,0,100,0,153,419,3982,1,Moderate Areas
MADHYA PRADESH,KHANDWA,2002,33,41,0,71,0,71,17,16,1,4,2,12,337,370,80,290,60,17,31,0,16,89,11,214,14,59,0,59,2526,3983,1,Moderate Areas
MAHARASHTRA,NAGPUR RURAL,2009,74,36,1,33,0,33,23,13,10,9,6,42,256,829,157,672,106,28,31,5,28,618,6,71,22,84,0,434,1241,3983,1,Moderate Areas
ODISHA,CUTTACK,2003,47,143,138,32,0,32,32,26,6,17,0,113,303,576,219,357,56,26,94,1,23,44,47,27,1,122,0,146,1997,3985,1,Moderate Areas
TAMIL NADU,THANJAVUR,2003,60,78,0,14,0,14,53,22,31,2,0,8,151,452,101,351,99,3,18,1,21,688,1,100,14,33,0,272,1917,3985,1,Moderate Areas
MADHYA PRADESH,SIHORE,2010,45,48,1,70,0,70,32,26,6,1,2,16,129,282,126,156,40,6,38,1,23,380,10,135,15,89,0,182,2441,3986,1,Moderate Areas
MAHARASHTRA,KOLHAPUR,2007,65,47,1,30,0,30,16,8,8,7,5,35,242,766,268,498,231,104,231,4,11,583,16,51,24,125,0,349,1046,3989,1,Moderate Areas
MAHARASHTRA,NAVI MUMBAI,2006,59,20,0,18,0,18,19,9,10,14,24,109,423,1226,629,597,121,56,164,10,9,424,7,39,11,59,0,384,798,3994,1,Moderate Areas
GUJARAT,RAJKOT RURAL,2007,32,21,1,25,0,25,58,51,7,14,0,32,164,376,122,254,65,70,10,9,7,423,4,26,1,234,0,293,2129,3994,1,Moderate Areas
UTTAR PRADESH,MATHURA,2009,87,93,19,20,0,20,76,59,17,4,0,36,59,587,364,223,99,104,309,13,3,110,25,42,42,197,0,375,1694,3994,1,Moderate Areas
RAJASTHAN,HANUMANGARH,2011,53,48,1,82,0,82,46,38,8,0,0,6,61,183,72,111,0,12,715,0,2,300,12,66,0,405,0,168,1834,3994,1,Moderate Areas
GUJARAT,SURAT COMMR.,2001,98,19,2,11,0,11,57,37,20,26,5,59,353,1422,958,464,127,66,228,6,10,353,20,10,1,132,0,167,823,3995,1,Moderate Areas
MADHYA PRADESH,SHAJAPUR,2004,40,53,1,74,0,74,15,11,4,6,1,63,277,639,93,546,114,20,15,1,35,1166,15,180,28,96,0,75,1081,3995,1,Moderate Areas
UTTAR PRADESH,ALIGARH,2002,178,216,21,31,0,31,112,69,43,20,2,111,151,576,191,385,252,78,169,0,20,319,38,72,21,169,0,216,1224,3996,1,Moderate Areas
KERALA,KOZHIKODE COMMR.,2011,5,15,0,14,0,14,11,10,1,0,30,48,136,241,106,135,446,30,191,2,10,685,0,124,100,171,0,0,1737,3996,1,Moderate Areas
GUJARAT,KHEDA NORTH,2005,30,8,1,14,0,14,30,29,1,7,0,18,114,336,96,240,42,33,19,15,8,316,0,39,0,155,0,216,2596,3997,1,Moderate Areas
WEST BENGAL,BURDWAN,2011,90,19,16,52,0,52,101,83,18,9,84,33,9,462,156,306,274,18,107,2,14,22,16,21,0,665,0,713,1270,3997,1,Moderate Areas
DELHI UT,NORTH,2001,28,33,5,28,0,28,99,53,46,2,5,52,177,1364,455,909,11,86,159,7,3,165,4,26,6,9,0,0,1729,3998,1,Moderate Areas
MADHYA PRADESH,KHANDWA,2006,30,55,0,60,0,60,21,19,2,3,0,18,421,444,92,352,55,9,23,0,9,45,8,179,20,61,0,96,2442,3999,1,Moderate Areas
RAJASTHAN,NAGAUR,2007,42,46,1,38,0,38,49,37,12,1,0,20,200,372,103,269,6,13,347,4,11,127,12,119,0,252,0,221,2120,4001,1,Moderate Areas
KARNATAKA,GULBARGA,2002,79,76,7,24,0,24,43,32,11,3,4,46,173,258,56,202,368,6,47,1,19,1163,4,119,6,73,0,0,1484,4003,1,Moderate Areas
KARNATAKA,TUMKUR,2003,79,46,2,14,0,14,24,1,23,6,0,19,260,396,107,289,179,15,34,3,48,1027,10,77,1,38,0,8,1717,4003,1,Moderate Areas
UTTAR PRADESH,BULANDSHAHAR,2007,146,160,24,44,0,44,120,93,27,1,0,33,63,400,156,244,105,69,209,3,2,417,36,75,120,227,0,163,1588,4005,1,Moderate Areas
KERALA,KOZHIKODE COMMR.,2009,5,10,1,18,0,18,8,3,5,3,27,114,158,325,192,133,330,32,156,5,20,513,2,66,40,167,0,3,2002,4005,1,Moderate Areas
GUJARAT,AHMEDABAD RURAL,2007,30,16,1,6,0,6,48,46,2,7,0,38,133,434,98,336,61,45,9,4,17,316,0,22,0,172,0,339,2308,4006,1,Moderate Areas
MAHARASHTRA,CHANDRAPUR,2010,56,29,3,43,0,43,21,16,5,3,2,24,264,661,141,520,104,22,76,3,45,639,7,117,116,147,0,280,1344,4006,1,Moderate Areas
MAHARASHTRA,THANE RURAL,2003,149,49,7,51,0,51,32,16,16,33,11,85,476,537,106,431,208,64,103,9,20,644,6,101,23,107,0,519,774,4008,1,Moderate Areas
UTTAR PRADESH,MORADABAD,2009,133,111,28,69,0,69,197,159,38,6,0,52,116,662,281,381,56,67,186,8,0,53,32,63,61,264,0,261,1583,4008,1,Moderate Areas
MAHARASHTRA,THANE RURAL,2002,122,41,21,51,0,51,35,0,35,42,10,81,485,588,195,393,174,35,79,0,37,727,16,100,26,81,0,564,695,4010,1,Moderate Areas
GUJARAT,HIMATNAGAR,2001,55,9,3,17,0,17,31,29,2,23,0,29,204,191,50,141,65,58,52,1,25,357,4,51,0,165,0,203,2470,4013,1,Moderate Areas
MAHARASHTRA,JALGAON,2001,83,44,0,19,0,19,16,12,4,16,5,30,238,557,72,485,157,41,119,0,22,721,5,76,31,389,0,259,1186,4014,1,Moderate Areas
RAJASTHAN,JAIPUR SOUTH,2012,17,17,1,17,0,17,26,21,5,1,1,53,218,1107,777,330,4,79,527,3,2,103,7,20,0,217,0,153,1443,4016,1,Moderate Areas
UTTAR PRADESH,MEERUT,2002,230,175,15,35,0,35,127,74,53,13,9,122,173,857,356,501,114,86,149,9,3,48,26,47,87,212,0,199,1282,4018,1,Moderate Areas
MAHARASHTRA,WARDHA,2005,45,30,4,35,0,35,31,31,0,4,6,31,254,535,49,486,71,14,56,5,56,914,4,110,45,94,0,126,1548,4018,1,Moderate Areas
MAHARASHTRA,AKOLA,2001,64,41,0,15,0,15,15,14,1,9,0,41,298,735,81,654,99,15,59,16,48,836,2,109,7,189,0,116,1306,4020,1,Moderate Areas
UTTAR PRADESH,BAREILLY,2005,224,209,32,48,0,48,107,81,26,14,2,66,119,506,174,332,108,82,206,12,11,449,37,89,74,210,0,252,1163,4020,1,Moderate Areas
JHARKHAND,JAMSHEDPUR,2012,85,25,5,56,0,56,98,91,7,9,5,40,155,979,412,567,114,82,240,4,4,679,17,22,3,106,0,6,1288,4022,1,Moderate Areas
TAMIL NADU,VIRUDHUNAGAR,2007,51,53,0,8,0,8,44,38,6,1,0,18,78,371,37,334,71,46,96,2,28,376,3,39,91,48,0,248,2351,4023,1,Moderate Areas
ANDHRA PRADESH,MEDAK,2005,133,45,10,36,0,36,38,27,11,15,0,24,213,424,77,347,32,22,108,14,35,1478,28,88,35,209,0,462,575,4024,1,Moderate Areas
GUJARAT,RAJKOT COMMR.,2010,38,22,1,12,0,12,39,32,7,9,0,34,243,1039,798,241,64,52,26,9,17,393,0,14,7,294,0,117,1594,4024,1,Moderate Areas
TAMIL NADU,SALEM URBAN,2005,17,8,0,4,0,4,12,10,2,0,0,1,34,266,65,201,2,4,97,1,1,121,6,9,9,18,0,110,3305,4025,1,Moderate Areas
BIHAR,BEGUSARAI,2010,126,156,2,20,0,20,92,45,47,9,0,51,65,334,15,319,322,45,62,0,18,601,42,10,0,41,0,481,1548,4025,1,Moderate Areas
MAHARASHTRA,AKOLA,2011,46,43,3,30,0,30,40,37,3,11,1,61,249,821,166,655,115,15,125,20,36,759,13,93,24,140,0,156,1224,4025,1,Moderate Areas
MAHARASHTRA,WARDHA,2007,49,32,3,31,0,31,26,25,1,4,3,37,248,654,66,588,88,16,48,3,72,756,0,107,35,92,0,169,1553,4026,1,Moderate Areas
TAMIL NADU,NAGAPATTINAM,2010,50,55,0,9,0,9,38,31,7,0,0,18,64,173,62,111,39,0,23,2,30,439,1,57,7,3,0,223,2796,4027,1,Moderate Areas
RAJASTHAN,SIKAR,2004,39,27,1,18,0,18,66,39,27,1,0,6,178,353,72,281,239,14,165,2,30,436,17,38,0,120,0,201,2078,4029,1,Moderate Areas
TAMIL NADU,COIMBATORE URBAN,2011,26,41,0,9,0,9,27,10,17,0,0,48,105,824,339,485,30,6,171,19,23,398,2,32,5,83,0,283,1898,4030,1,Moderate Areas
KARNATAKA,DAKSHIN KANNADA,2006,28,44,0,17,0,17,12,5,7,7,0,20,208,237,105,132,419,5,56,8,28,441,2,47,6,34,0,11,2407,4037,1,Moderate Areas
KARNATAKA,HASSAN,2001,64,69,0,20,0,20,17,0,17,5,0,23,162,268,59,209,210,9,17,0,0,1483,4,75,1,68,0,0,1544,4039,1,Moderate Areas
UTTAR PRADESH,G.R.P.,2002,30,12,3,2,0,2,7,4,3,15,2,46,1,2845,84,2761,10,34,42,2,0,2,0,11,31,0,0,2,942,4039,1,Moderate Areas
TAMIL NADU,THIRUVARUR,2012,33,45,0,11,0,11,34,33,1,1,2,20,68,175,54,121,20,1,19,0,25,536,1,6,0,16,0,185,2841,4039,1,Moderate Areas
MAHARASHTRA,WARDHA,2009,29,28,4,41,0,41,18,15,3,6,4,38,251,800,86,714,112,17,49,9,58,766,1,84,32,100,0,187,1407,4041,1,Moderate Areas
UTTAR PRADESH,MUZAFFARNAGAR,2001,324,255,12,54,0,54,142,67,75,23,5,150,185,637,189,448,186,74,94,10,18,110,24,51,33,265,0,116,1274,4042,1,Moderate Areas
KARNATAKA,BIDAR,2004,40,94,1,8,0,8,25,16,9,9,1,20,155,246,47,199,187,7,37,2,14,1112,8,27,2,47,0,0,2003,4045,1,Moderate Areas
RAJASTHAN,KOTA CITY,2006,11,134,4,18,0,18,85,70,15,2,2,40,186,893,531,362,10,15,340,0,9,198,12,49,3,272,0,101,1661,4045,1,Moderate Areas
RAJASTHAN,SIKAR,2007,36,35,2,34,0,34,59,42,17,1,1,8,152,353,93,260,24,8,373,3,22,443,19,32,0,183,0,285,1974,4047,1,Moderate Areas
MAHARASHTRA,BEED,2010,86,74,6,28,0,28,44,29,15,37,5,71,298,523,181,342,297,19,95,4,39,879,11,87,11,360,0,290,785,4049,1,Moderate Areas
BIHAR,SARAN,2010,112,90,16,23,0,23,136,107,29,19,2,56,112,488,66,422,344,40,96,0,40,1461,78,24,0,103,0,315,495,4050,1,Moderate Areas
WEST BENGAL,MURSHIDABAD,2005,115,23,46,236,0,236,121,110,11,7,19,18,17,536,99,437,139,15,64,16,6,577,35,223,1,696,0,232,910,4052,1,Moderate Areas
GUJARAT,HIMATNAGAR,2004,35,20,0,10,0,10,47,43,4,15,0,25,200,194,40,154,56,111,57,4,19,383,0,61,0,204,0,217,2395,4053,1,Moderate Areas
RAJASTHAN,DAUSA,2004,30,15,0,14,0,14,50,30,20,0,0,5,97,479,168,311,87,8,172,0,17,45,14,30,0,89,0,167,2734,4053,1,Moderate Areas
RAJASTHAN,SIKAR,2002,41,29,5,13,0,13,52,27,25,2,0,2,206,306,54,252,577,12,217,0,49,465,10,42,0,116,0,155,1755,4054,1,Moderate Areas
RAJASTHAN,BIKANER,2008,38,70,0,48,0,48,29,28,1,2,0,16,113,367,117,250,0,14,390,0,16,561,12,74,0,306,0,252,1746,4054,1,Moderate Areas
RAJASTHAN,SAWAI MADHOPUR,2012,24,27,2,19,0,19,95,75,20,0,1,5,40,605,405,200,0,9,355,0,7,0,6,39,0,213,0,93,2514,4054,1,Moderate Areas
ODISHA,DCP BBSR,2008,51,58,2,36,0,36,45,24,21,14,10,106,334,1216,578,638,68,13,243,4,12,768,23,61,7,38,0,164,783,4056,1,Moderate Areas
ODISHA,DCP BBSR,2011,34,63,0,35,0,35,40,32,8,8,10,76,213,1191,646,545,41,10,122,2,10,708,13,43,5,32,0,182,1219,4057,1,Moderate Areas
KARNATAKA,CHITRADURGA,2012,43,38,7,26,0,26,34,34,0,3,0,25,119,224,90,134,323,4,71,0,8,799,6,140,0,75,0,0,2114,4059,1,Moderate Areas
TAMIL NADU,NAGAPATTINAM,2002,48,65,0,27,0,27,33,24,9,0,0,4,100,334,76,258,83,3,36,1,29,1246,7,83,6,14,0,119,1823,4061,1,Moderate Areas
BIHAR,SAMASTIPUR,2010,119,215,12,36,0,36,189,9,180,10,1,54,107,369,103,266,317,26,52,1,36,260,62,7,0,42,0,175,1973,4063,1,Moderate Areas
WEST BENGAL,HOOGHLY,2009,98,37,71,48,0,48,94,79,15,11,56,35,16,571,135,436,573,45,160,7,82,186,25,24,0,629,0,182,1114,4064,1,Moderate Areas
ODISHA,DCP BBSR,2009,30,40,1,32,0,32,27,22,5,12,6,96,267,996,588,408,54,14,104,2,12,785,17,50,9,46,0,152,1313,4065,1,Moderate Areas
MADHYA PRADESH,RAJGARH,2003,31,48,1,88,0,88,9,5,4,1,0,35,214,328,35,293,121,9,10,1,35,367,2,163,20,83,0,111,2389,4066,1,Moderate Areas
MAHARASHTRA,AKOLA,2007,38,43,1,22,0,22,17,15,2,14,1,55,257,898,121,777,117,23,56,3,28,821,3,86,48,165,0,125,1246,4067,1,Moderate Areas
TAMIL NADU,THIRUVALLUR,2009,34,48,1,12,0,12,20,19,1,1,0,8,68,150,24,126,64,3,47,3,1,299,6,15,0,26,0,302,2959,4067,1,Moderate Areas
TAMIL NADU,THIRUVANNAMALAI,2009,45,83,0,12,0,12,21,19,2,0,0,5,76,190,42,148,146,1,56,2,26,539,3,18,0,29,0,401,2414,4067,1,Moderate Areas
PUDUCHERRY,PONDICHERRY,2001,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,4068,1,Moderate Areas
KARNATAKA,BIDAR,2003,37,57,3,6,0,6,22,17,5,8,2,43,210,226,46,180,144,8,36,3,27,1142,5,45,3,67,0,0,1975,4069,1,Moderate Areas
UTTAR PRADESH,ALIGARH,2008,139,143,30,62,0,62,162,124,38,6,10,73,137,701,289,412,176,104,241,8,18,311,58,37,74,213,0,281,1085,4069,1,Moderate Areas
TAMIL NADU,NAMAKKAL,2012,30,33,0,12,0,12,48,44,4,4,0,44,62,106,39,67,35,4,82,3,5,458,1,39,15,8,0,494,2587,4070,1,Moderate Areas
BIHAR,ROHTAS,2009,110,63,0,18,0,18,83,11,72,37,0,61,125,569,171,398,219,28,37,0,1,165,41,38,0,57,23,285,2111,4071,1,Moderate Areas
ANDHRA PRADESH,CUDDAPAH,2005,96,0,0,21,0,21,36,31,5,9,0,11,152,297,79,218,66,21,114,7,34,783,7,116,18,95,0,343,1846,4072,1,Moderate Areas
UTTAR PRADESH,MEERUT,2006,185,209,28,37,0,37,108,85,23,6,2,86,149,1003,540,463,135,69,204,12,7,144,21,74,91,246,0,130,1126,4072,1,Moderate Areas
BIHAR,KATIHAR,2012,91,94,2,73,0,73,137,112,25,13,2,32,62,400,176,224,229,106,86,1,32,1662,24,1,1,111,0,120,793,4072,1,Moderate Areas
WEST BENGAL,HOWRAH,2007,69,16,10,45,0,45,83,70,13,4,61,17,8,635,157,478,180,23,152,1,7,463,33,87,6,422,0,301,1450,4073,1,Moderate Areas
BIHAR,VAISHALI,2001,110,148,13,20,0,20,90,28,62,22,3,43,226,262,23,239,295,83,120,1,8,436,59,52,0,179,0,49,1857,4076,1,Moderate Areas
HARYANA,GURGAON,2004,66,40,6,36,0,36,55,34,21,16,22,33,283,1045,746,299,67,47,42,3,7,226,21,21,18,115,0,11,1897,4077,1,Moderate Areas
BIHAR,SAMASTIPUR,2009,109,211,17,26,0,26,130,27,103,9,1,45,82,409,97,312,235,23,26,1,47,267,68,21,0,64,0,165,2121,4077,1,Moderate Areas
RAJASTHAN,HANUMANGARH,2012,49,58,0,92,0,92,63,57,6,1,2,5,77,230,106,124,0,5,607,0,9,276,19,43,0,515,0,129,1897,4077,1,Moderate Areas
RAJASTHAN,BUNDI,2001,33,72,4,36,0,36,120,103,17,4,0,33,222,391,67,324,229,24,106,0,39,1067,2,164,6,157,0,76,1293,4078,1,Moderate Areas
RAJASTHAN,NAGAUR,2005,38,27,4,33,0,33,43,40,3,1,0,11,169,350,93,257,8,3,249,1,25,176,15,169,0,136,0,171,2449,4078,1,Moderate Areas
RAJASTHAN,KOTA CITY,2010,35,114,4,33,0,33,80,74,6,0,22,49,104,805,561,244,2,15,493,1,4,146,2,50,0,369,0,117,1633,4078,1,Moderate Areas
MADHYA PRADESH,HOSHANGABAD,2011,59,50,5,59,0,59,28,26,2,4,1,66,211,261,162,99,26,12,40,0,25,306,16,149,17,120,0,139,2484,4078,1,Moderate Areas
RAJASTHAN,JHUNJHUNU,2011,41,35,2,51,0,51,79,59,20,1,0,10,110,309,143,166,11,6,512,1,11,427,21,68,0,284,0,211,1888,4078,1,Moderate Areas
MADHYA PRADESH,KHARGON,2009,45,51,3,45,0,45,5,5,0,1,0,25,159,531,138,393,38,4,12,0,19,305,27,142,9,29,0,140,2489,4079,1,Moderate Areas
UTTAR PRADESH,MUZAFFARNAGAR,2011,126,166,13,19,0,19,238,179,59,2,0,64,71,508,233,275,165,91,243,1,2,9,25,37,0,203,0,205,1891,4079,1,Moderate Areas
KARNATAKA,RAMANAGAR,2008,92,60,7,17,0,17,19,8,11,11,3,41,199,409,183,226,227,3,34,1,11,562,14,62,0,37,0,0,2275,4084,1,Moderate Areas
DELHI UT,SOUTH-WEST,2012,47,48,6,87,0,87,399,244,155,0,1,47,211,1171,800,371,6,27,189,3,6,131,18,69,21,207,0,4,1387,4085,1,Moderate Areas
MADHYA PRADESH,SHIVPURI,2009,62,40,4,55,0,55,32,20,12,7,3,57,143,265,120,145,57,11,24,3,26,1148,16,124,8,43,0,172,1794,4094,1,Moderate Areas
TAMIL NADU,THANJAVUR,2005,63,55,0,9,0,9,45,45,0,1,0,7,155,613,109,504,88,5,18,1,27,648,7,102,5,26,0,263,1957,4095,1,Moderate Areas
ODISHA,DCP BBSR,2010,44,56,2,43,0,43,41,29,12,7,14,55,271,1146,698,448,56,8,90,2,10,712,18,45,8,41,0,176,1251,4096,1,Moderate Areas
MAHARASHTRA,BEED,2012,84,71,9,42,0,42,50,21,29,32,6,70,309,521,162,359,339,35,157,1,44,886,8,81,9,378,0,312,655,4099,1,Moderate Areas
KERALA,PATHANAMTHITTA,2001,20,13,16,12,0,12,0,0,0,1,0,7,144,129,65,64,224,10,65,6,29,970,0,90,3,95,0,0,2266,4100,1,Moderate Areas
KARNATAKA,HASSAN,2002,74,65,1,11,0,11,26,0,26,3,1,22,195,287,70,217,242,19,13,2,91,1362,7,64,0,62,0,0,1553,4100,1,Moderate Areas
KARNATAKA,GULBARGA,2012,82,87,0,29,0,29,53,39,14,12,0,63,209,313,151,162,362,7,89,0,54,702,10,132,0,151,0,21,1725,4101,1,Moderate Areas
RAJASTHAN,JHUNJHUNU,2001,37,19,0,19,0,19,45,25,20,3,1,6,163,392,67,325,262,29,129,2,35,95,0,50,0,125,0,91,2599,4102,1,Moderate Areas
MADHYA PRADESH,SHIVPURI,2008,74,47,2,64,0,64,31,24,7,4,6,46,205,257,88,169,58,12,16,0,37,1093,16,128,3,53,0,171,1781,4104,1,Moderate Areas
RAJASTHAN,BIKANER,2007,39,85,0,32,0,32,36,33,3,0,0,8,124,320,104,216,2,8,448,1,5,610,18,76,0,307,0,192,1794,4105,1,Moderate Areas
ANDHRA PRADESH,CUDDAPAH,2004,96,58,0,14,0,14,39,31,8,3,0,5,111,275,68,207,74,16,120,1,37,1153,7,118,49,120,0,317,1494,4107,1,Moderate Areas
GUJARAT,PALANPUR,2008,42,16,1,37,0,37,43,43,0,9,0,31,206,413,137,276,67,18,35,6,23,1109,1,34,0,201,0,174,1641,4107,1,Moderate Areas
TAMIL NADU,MADURAI RURAL,2003,48,73,1,22,0,22,31,24,7,6,16,50,115,383,51,332,173,7,61,1,21,1868,13,58,8,63,0,300,792,4110,1,Moderate Areas
KARNATAKA,BELLARY,2006,56,44,1,15,0,15,23,22,1,5,3,31,155,268,96,172,224,15,49,5,5,566,13,59,0,70,0,8,2497,4112,1,Moderate Areas
RAJASTHAN,KARAULI,2009,33,38,0,46,0,46,84,49,35,0,1,16,22,522,265,257,6,18,214,0,20,7,14,25,0,138,0,99,2809,4112,1,Moderate Areas
MAHARASHTRA,KOLHAPUR,2011,65,41,2,42,0,42,38,35,3,23,3,51,367,876,321,555,237,75,240,4,17,480,19,59,18,121,0,381,955,4114,1,Moderate Areas
TAMIL NADU,THIRUVALLUR,2008,35,41,2,17,0,17,22,22,0,4,0,30,80,232,26,206,75,6,33,4,9,486,9,18,0,30,0,294,2689,4116,1,Moderate Areas
UTTAR PRADESH,BAREILLY,2004,214,200,23,41,0,41,117,84,33,27,4,97,158,609,188,421,113,63,187,10,2,587,44,76,73,201,3,296,972,4117,1,Moderate Areas
UTTAR PRADESH,MUZAFFARNAGAR,2009,195,186,49,58,0,58,162,138,24,14,4,92,74,551,285,266,146,75,195,7,4,19,27,64,86,340,0,262,1507,4117,1,Moderate Areas
JAMMU & KASHMIR,JAMMU,2011,18,83,2,35,0,35,68,61,7,0,0,2,256,620,340,280,56,41,110,3,17,18,3,38,45,51,0,120,2532,4118,1,Moderate Areas
KARNATAKA,HASSAN,2005,63,58,5,10,0,10,21,9,12,6,0,31,196,298,97,201,161,7,26,1,0,1128,8,49,0,42,0,0,2010,4120,1,Moderate Areas
MADHYA PRADESH,KHARGON,2010,49,40,5,71,0,71,14,14,0,0,1,11,133,389,100,289,31,3,21,0,7,272,31,162,28,35,0,154,2664,4121,1,Moderate Areas
KARNATAKA,CHITRADURGA,2009,43,27,3,26,0,26,24,21,3,4,1,24,107,238,112,126,247,7,40,7,5,870,10,102,0,83,0,0,2254,4122,1,Moderate Areas
ANDHRA PRADESH,ANANTAPUR,2001,151,125,1,23,0,23,53,30,23,8,0,16,191,366,57,309,168,11,65,8,69,1543,7,118,24,154,0,270,754,4125,1,Moderate Areas
MADHYA PRADESH,CHHINDWARA,2004,66,28,2,132,0,132,15,12,3,2,2,15,195,278,91,187,47,10,30,1,12,1149,8,204,31,138,0,117,1644,4126,1,Moderate Areas
WEST BENGAL,BURDWAN,2008,91,69,26,61,0,61,87,28,59,11,59,29,6,519,118,401,333,7,152,4,5,136,24,107,2,507,0,924,969,4128,1,Moderate Areas
WEST BENGAL,BURDWAN,2002,92,11,38,53,0,53,48,44,4,13,37,27,23,524,58,466,150,0,35,4,4,117,21,59,0,296,0,71,2506,4129,1,Moderate Areas
MAHARASHTRA,WARDHA,2006,49,28,3,31,0,31,22,21,1,6,7,28,227,643,50,593,147,24,55,1,62,772,2,96,35,134,0,156,1602,4130,1,Moderate Areas
GUJARAT,SURAT COMMR.,2004,74,8,5,24,0,24,72,47,25,31,1,61,317,1543,1063,480,62,46,140,10,9,467,17,21,6,102,0,383,732,4131,1,Moderate Areas
MAHARASHTRA,AKOLA,2008,54,72,2,26,0,26,35,33,2,8,3,54,249,1002,119,883,157,24,102,7,38,723,7,111,61,153,0,116,1128,4132,1,Moderate Areas
KARNATAKA,DAKSHIN KANNADA,2004,24,25,2,12,0,12,13,8,5,8,0,50,218,259,120,139,277,11,66,6,24,565,1,25,4,26,0,13,2504,4133,1,Moderate Areas
TAMIL NADU,NAGAPATTINAM,2008,47,64,1,10,0,10,28,24,4,1,1,2,49,232,66,166,41,1,18,2,15,367,4,59,1,8,0,179,3003,4133,1,Moderate Areas
GUJARAT,BHAVNAGAR,2010,50,29,2,8,0,8,62,58,4,1,2,22,176,513,237,276,92,28,45,19,15,507,0,32,42,177,0,0,2311,4133,1,Moderate Areas
RAJASTHAN,JAIPUR SOUTH,2011,16,9,4,18,0,18,53,47,6,0,2,35,188,1071,679,392,20,59,597,0,4,118,6,18,0,215,0,161,1541,4135,1,Moderate Areas
MADHYA PRADESH,SIDHI,2006,72,25,1,66,0,66,31,31,0,2,1,27,296,317,50,267,34,13,55,0,12,622,21,129,2,47,0,126,2237,4136,1,Moderate Areas
WEST BENGAL,BURDWAN,2004,110,10,26,92,0,92,56,52,4,10,79,22,45,382,60,322,209,12,62,4,6,98,40,56,2,230,0,260,2329,4140,1,Moderate Areas
KARNATAKA,TUMKUR,2001,80,55,4,6,0,6,21,4,17,10,1,27,237,389,92,297,234,13,26,3,69,1099,28,53,0,44,0,4,1738,4141,1,Moderate Areas
MADHYA PRADESH,KHARGON,2008,49,45,2,65,0,65,8,8,0,2,1,23,164,596,155,441,97,13,17,0,16,279,23,154,23,42,0,127,2398,4144,1,Moderate Areas
KERALA,KASARGOD,2007,12,13,2,19,0,19,2,0,2,0,3,27,156,192,78,114,519,16,791,0,34,648,0,93,7,195,0,0,1417,4146,1,Moderate Areas
MAHARASHTRA,CHANDRAPUR,2007,59,23,4,35,0,35,25,19,6,7,1,34,383,815,153,662,129,31,70,3,70,663,5,115,109,169,0,258,1140,4148,1,Moderate Areas
MAHARASHTRA,AMRAVATI RURAL,2008,75,27,3,47,0,47,18,18,0,10,1,33,238,1003,76,927,119,24,35,1,58,829,3,137,33,146,0,194,1116,4150,1,Moderate Areas
MAHARASHTRA,BULDHANA,2006,53,64,2,23,0,23,10,5,5,7,2,32,214,704,101,603,177,25,89,2,68,905,13,128,41,192,0,177,1224,4152,1,Moderate Areas
TAMIL NADU,NAGAPATTINAM,2011,44,41,0,13,0,13,34,32,2,0,0,25,62,164,41,123,60,0,14,1,21,455,5,40,27,12,0,254,2881,4153,1,Moderate Areas
ANDHRA PRADESH,ADILABAD,2001,101,60,17,50,0,50,46,30,16,9,0,41,198,199,22,177,78,16,104,1,30,1131,16,149,34,175,0,181,1518,4154,1,Moderate Areas
