STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,CLUSTER,CLUSTER NAME
KARNATAKA,BANGALORE COMMR.,2005,242,282,5,38,0,38,131,25,106,35,82,594,1771,9617,3753,5864,377,172,1633,90,5,3474,39,167,39,287,0,93,9869,29042,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2002,201,311,4,32,0,32,159,58,101,27,47,365,2084,7081,2754,4327,284,180,1788,107,1,4029,33,237,62,242,0,45,11801,29120,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2003,216,280,1,34,0,34,132,11,121,46,46,311,1713,7123,2682,4441,273,241,1780,87,0,3847,34,213,39,213,0,84,12547,29260,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2012,266,454,6,90,0,90,532,433,99,37,470,670,1240,9826,5090,4736,551,145,3092,41,0,3095,51,321,51,524,0,170,7665,29297,2,Sensitive Areas
MAHARASHTRA,MUMBAI,2004,253,127,4,187,0,187,178,113,65,42,68,302,2978,11510,3247,8263,213,510,1427,96,10,3702,13,321,78,248,0,735,6451,29453,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2008,253,297,8,54,0,54,159,2,157,88,203,702,1787,9681,5605,4076,348,190,2025,49,10,2497,52,179,1,307,0,126,10648,29664,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2011,232,460,3,97,0,97,573,206,367,43,342,783,1313,10543,5977,4566,390,152,3155,60,4,2927,53,250,40,458,0,108,8297,30283,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2007,230,116,2,174,0,174,179,120,59,31,42,265,2886,11670,3621,8049,260,470,1735,113,13,3781,17,365,112,380,0,778,6862,30481,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2012,215,170,9,232,0,232,212,141,71,29,29,1131,2500,10851,4075,6776,374,564,1827,48,86,3939,11,614,235,388,0,621,6423,30508,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2006,239,135,5,165,0,165,190,129,61,29,61,292,3111,11685,3552,8133,278,510,1701,137,15,3797,17,357,102,327,1,778,7138,31070,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2009,217,160,6,182,0,182,149,86,63,39,34,316,2769,12009,4183,7826,305,511,2132,129,14,3892,15,400,101,434,0,710,6738,31262,2,Sensitive Areas
MAHARASHTRA,MUMBAI,2005,212,136,8,201,0,201,198,122,76,47,57,362,3175,11903,3494,8409,261,536,1664,169,10,3731,9,385,99,336,0,658,7275,31432,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2010,266,445,5,65,0,65,513,29,484,66,246,641,1335,10568,6407,4161,349,139,3073,72,7,3153,52,308,50,398,0,104,10333,32188,2,Sensitive Areas
KARNATAKA,BANGALORE COMMR.,2009,256,338,1,65,0,65,270,2,268,41,278,743,1592,11730,7074,4656,337,214,3007,65,8,2653,50,251,35,367,0,87,9992,32380,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2011,203,180,4,221,0,221,221,166,55,28,46,467,2745,12983,4702,8281,379,553,1946,81,46,4302,14,553,162,393,0,656,6464,32647,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2008,210,132,0,218,0,218,189,116,73,35,27,328,2846,12972,4068,8904,377,481,2025,124,22,4155,11,436,121,502,0,709,6850,32770,2,Sensitive Areas
MAHARASHTRA,MUMBAI COMMR.,2010,228,170,7,194,0,194,194,146,48,35,42,410,3059,13195,4167,9028,391,482,2211,76,22,4487,21,475,138,312,0,690,7093,33932,2,Sensitive Areas
KERALA,ERNAKULAM RURAL,2011,15,14,0,30,0,30,12,11,1,6,34,38,77,307,71,236,343,23,630,1,5,376,0,105,32,136,0,2,32452,34638,2,Sensitive Areas
